State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Potato,Desi,FAQ,09/03/2024,1150,0,1750
Gujarat,Surat,Bardoli(Katod),"Bhindi(Ladies Finger)",Other,FAQ,09/03/2024,3500,4500,4000
Gujarat,Surat,Surat,Beetroot,Other,FAQ,09/03/2024,1100,1600,1350
Gujarat,Surat,Surat,Cabbage,Other,FAQ,09/03/2024,800,2600,1700
Gujarat,Surat,Surat,Capsicum,Other,FAQ,09/03/2024,1500,5000,3250
Gujarat,Surat,Surat,"Elephant Yam (Suran)",Other,FAQ,09/03/2024,5500,6000,5700
Gujarat,Surat,Surat,"French Beans (Frasbean)",Other,FAQ,09/03/2024,1500,3700,2600
Gujarat,Surat,Surat,Lemon,Other,FAQ,09/03/2024,3500,10500,7000
Gujarat,Surat,Surat,"Little gourd (Kundru)",Other,FAQ,09/03/2024,3000,8000,5500
Gujarat,Surat,Surat,Potato,Other,FAQ,09/03/2024,700,1750,1225
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,09/03/2024,1300,2000,1650
Gujarat,Surat,Surat,"Sweet Potato",Other,FAQ,09/03/2024,2000,3100,2550
Gujarat,Surat,Surat,"Turmeric (raw)",Other,FAQ,09/03/2024,4000,15000,9500
Gujarat,Surat,Vyra,"Arhar (Tur/Red Gram)(Whole)",Desi(Whole),FAQ,09/03/2024,9000,10000,9500
Gujarat,Surendranagar,Vadhvan,"Banana - Green","Banana - Green",FAQ,09/03/2024,1500,2000,1750
Gujarat,Surendranagar,Vadhvan,"Bhindi(Ladies Finger)",Bhindi,FAQ,09/03/2024,4000,4500,4250
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,09/03/2024,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,Spinach,Spinach,FAQ,09/03/2024,1000,1500,1250
Gujarat,Surendranagar,Vadhvan,"Sweet Potato","Sweet Potato",FAQ,09/03/2024,2500,3000,2750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,09/03/2024,5000,6000,5500
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,09/03/2024,2000,2500,2250
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,FAQ,09/03/2024,2000,3000,2500
Gujarat,Vadodara(Baroda),Padra,"Little gourd (Kundru)",Other,FAQ,09/03/2024,2000,2500,2250
Gujarat,Vadodara(Baroda),Padra,Pumpkin,Other,FAQ,09/03/2024,700,1000,850
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,09/03/2024,750,900,825
Haryana,Ambala,Shahzadpur,Onion,Local,FAQ,09/03/2024,1300,1300,1300
Haryana,Hissar,Hansi,Carrot,Other,FAQ,09/03/2024,600,600,600
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,09/03/2024,4000,7000,6000
Haryana,Hissar,Hansi,Spinach,Other,FAQ,09/03/2024,600,700,600
Haryana,Hissar,Hansi,Tomato,Other,FAQ,09/03/2024,2000,2500,2300
Haryana,Kurukshetra,Iamailabad,Apple,Apple,Large,09/03/2024,10000,14500,12500
Haryana,Kurukshetra,Iamailabad,Banana,Other,Large,09/03/2024,2000,3000,2500
Haryana,Kurukshetra,Ladwa,Cauliflower,Cauliflower,FAQ,09/03/2024,2000,3500,2700
Haryana,Kurukshetra,Ladwa,Grapes,Green,Medium,09/03/2024,4000,4000,4000
Haryana,Kurukshetra,Ladwa,"Green Chilli","Green Chilly",FAQ,09/03/2024,3000,4000,3500
Haryana,Mahendragarh-Narnaul,Narnaul,"Bottle gourd",Other,FAQ,09/03/2024,1800,2100,2100
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Other,FAQ,09/03/2024,2000,2000,2000
Haryana,Mahendragarh-Narnaul,Narnaul,Cabbage,Other,FAQ,09/03/2024,800,1500,1000
Haryana,Mahendragarh-Narnaul,Narnaul,Cauliflower,Other,FAQ,09/03/2024,1500,2000,1800
Haryana,Mahendragarh-Narnaul,Narnaul,Coriander(Leaves),Other,FAQ,09/03/2024,1000,1500,1500
